establecimiento,razon_social,rubro
ADD CROPS S.A.,BARADERO 1,AGRICULTURA
ADD CROPS S.A.,BARADERO 2,AGRICULTURA
ADD CROPS S.A.,EL BUEN RETIRO,AGRICULTURA
AGRICOLA EL HORIZONTE S.A.,EL RELINCHO,AGRICULTURA
AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE,AGRICULTURA
ALVAREZ ANA MARIA,EL PAMPA ORGANICO,FRUTICULTURA
ALVAREZ ANA MARIA,EL PAMPA ORGANICO,HORTICULTURA
ANIJG AGENCY S.A.,EL FORTIN,GANADERIA
ARBE JUAN LUCAS ,NATURAL PAMPA,FRUTICULTURA
ARBE JUAN LUCAS ,NATURAL PAMPA,HORTICULTURA
AUTOSOL PARTS S.A.,SAN JOSE,FRUTICULTURA
AUTOSOL PARTS S.A.,SAN JOSE,HORTICULTURA
BANDERITAS S.A.,JUAN ALBERTO,AGRICULTURA
BANDERITAS S.A.,SANTA RITA,AGRICULTURA
BANDERITAS S.A.,LA COLORADA,AGRICULTURA
BANDERITAS S.A.,LA NELIDA,AGRICULTURA
BARRETO JORGE JAVIER,LOS ARANDANALES,FRUTICULTURA
BARRETO JORGE JAVIER,LOS ARANDANALES,HORTICULTURA
BERRIES PREMIUM SA,BERRIES PREMIUM,FRUTICULTURA
BERRIES PREMIUM SA,BERRIES PREMIUM,HORTICULTURA
BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA""",GANADERIA
BIOLIVE S.A.,EL PIAL,AGRICULTURA
BORCHARDT FRANCISCO,ORGANIC ORCHARD,FRUTICULTURA
BORCHARDT FRANCISCO,ORGANIC ORCHARD,HORTICULTURA
BUENA TIERRA SRL.,SANTA LUCIA,FRUTICULTURA
BUENA TIERRA SRL.,SANTA LUCIA,HORTICULTURA
CHACRA RUMFE SRL,CHACRA RUMFE,AGRICULTURA
CIDEL ORGANICA S.R.L.,QUINTA 462,HORTICULTURA
CIDEL ORGANICA SRL,LA ANUNCIACION QUINTA 2,HORTICULTURA
COOPERATIVA GRANJERA ENTRERIANA DE CHACRAS ORGANICAS LTDA.,EL SEÑUELO,GANADERIA
COSUFRUTOS SA,PUENTE VIEJO,FRUTICULTURA
DON JACINTO SAAYC,PILLAHUINCO,AGRICULTURA
EDCO GRAINS S.A.,LA UNION,AGRICULTURA
EDCO GRAINS S.A.,LA ELVIRA,AGRICULTURA
EL REFUGIO DE CARLOS S.A.,LOS TAMARISCOS (ANIMAL),GANADERIA
"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA,FRUTICULTURA
GARRIDO STELLA MARIS,LOS OSOS,GANADERIA
GIMAI SA,LA AMISTAD,HORTICULTURA
HUENU CRESTA Y MUTICIA CRESTA SH,CANDELA,GANADERIA
INNOCENTI MONICA,KIWI Y CHAMPIGNON,FRUTICULTURA
INNOCENTI MONICA,KIWI Y CHAMPIGNON,HORTICULTURA
INTERRUPCION S.A.,LAS LOMAS,AGRICULTURA
"JAÑEZ, MARIA PILAR",EL CHARA,GANADERIA
KUMAGRO S.A.,CAMPO ALVEAR,AGRICULTURA
KUMAGRO S.A.,LOS PINOS,AGRICULTURA
KUMAGRO S.A.,LA LUCIA II,AGRICULTURA
KUMAGRO S.A.,MAC GRATH,AGRICULTURA
KUMAGRO S.A.,LOS PARAISOS,AGRICULTURA
KUMAGRO S.A.,LA BLANQUEADA,AGRICULTURA
KUMAGRO S.A.,OJEA,AGRICULTURA
LA CATALINA SCA,LA CATALINA ORGANICA,AGRICULTURA
LA CATALINA SCA,LA CATALINA ORGANICA,GANADERIA
LA VENTURA & ASOCIADOS S.A.,LA VENTURA Y LA MARIA SUR,GANADERIA
LAFONTAINE SILVIA ELENA,LA MADRECITA,AGRICULTURA
