establecimiento,razon_social,productos
ADD CROPS S.A.,BARADERO 1,SOJA
ADD CROPS S.A.,BARADERO 2,GIRASOL
ADD CROPS S.A.,BARADERO 2,MIJO
ADD CROPS S.A.,BARADERO 2,RESIDUO VEGETAL
ADD CROPS S.A.,EL BUEN RETIRO,MAIZ
ADD CROPS S.A.,EL BUEN RETIRO,AVENA
ADD CROPS S.A.,EL BUEN RETIRO,CAMPO NATURAL
AGRICOLA EL HORIZONTE S.A.,EL RELINCHO,SOJA
AGRICOLA EL HORIZONTE S.A.,EL RELINCHO,ALPISTE
AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE,SOJA
AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE,ALPISTE
AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE,TRIGO
ALVAREZ ANA MARIA,EL PAMPA ORGANICO,NUEZ PECAN
ALVAREZ ANA MARIA,EL PAMPA ORGANICO,PASTURAS
ALVAREZ ANA MARIA,EL PAMPA ORGANICO,INCULTO
ANIJG AGENCY S.A.,EL FORTIN,GANADERIA BOVINA
ARBE JUAN LUCAS ,NATURAL PAMPA,ARANDANO
AUTOSOL PARTS S.A.,SAN JOSE,ARANDANO
AUTOSOL PARTS S.A.,SAN JOSE,DESCANSO
BANDERITAS S.A.,JUAN ALBERTO,TRIGO
BANDERITAS S.A.,JUAN ALBERTO,SOJA
BANDERITAS S.A.,SANTA RITA,LINO DORADO
BANDERITAS S.A.,SANTA RITA,SOJA
BANDERITAS S.A.,LA COLORADA,TRIGO
BANDERITAS S.A.,LA COLORADA,SOJA
BANDERITAS S.A.,LA NELIDA,TRIGO
BANDERITAS S.A.,LA NELIDA,SOJA
BARRETO JORGE JAVIER,LOS ARANDANALES,ARANDANO
BARRETO JORGE JAVIER,LOS ARANDANALES,PASTURAS
BERRIES PREMIUM SA,BERRIES PREMIUM,ARANDANO
BERRIES PREMIUM SA,BERRIES PREMIUM,NARANJA
BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA""",VACAS
