establecimiento,razon_social,rubro
ADD CROPS S.A.,BARADERO 1,AGRICULTURA
ADD CROPS S.A.,BARADERO 2,AGRICULTURA
ADD CROPS S.A.,EL BUEN RETIRO,AGRICULTURA
AGRICOLA EL HORIZONTE S.A.,EL RELINCHO,AGRICULTURA
AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE,AGRICULTURA
AGRO ROSSI S.H.,DON GISLENO,AGRICULTURA
AGRO ROSSI S.H.,ONELIA,AGRICULTURA
ALVAREZ ANA MARIA,EL PAMPA ORGANICO,FRUTICULTURA
ALVAREZ ANA MARIA,EL PAMPA ORGANICO,HORTICULTURA
ANIJG AGENCY S.A.,EL FORTIN,GANADERIA
ARBE JUAN LUCAS ,NATURAL PAMPA,FRUTICULTURA
ARBE JUAN LUCAS ,NATURAL PAMPA,HORTICULTURA
ARGENTINA SPECIALITY S.R.L.,LA MORENITA,FRUTICULTURA
ARGENTINA SPECIALITY S.R.L.,LA MORENITA,HORTICULTURA
AUTOSOL PARTS S.A.,SAN JOSE,FRUTICULTURA
AUTOSOL PARTS S.A.,SAN JOSE,HORTICULTURA
BANDERITAS S.A.,JUAN ALBERTO,AGRICULTURA
BANDERITAS S.A.,SANTA RITA,AGRICULTURA
BANDERITAS S.A.,LA COLORADA,AGRICULTURA
BANDERITAS S.A.,LA NELIDA,AGRICULTURA
BARRETO JORGE JAVIER,LOS ARANDANALES,FRUTICULTURA
BARRETO JORGE JAVIER,LOS ARANDANALES,HORTICULTURA
BERRIES PREMIUM SA,BERRIES PREMIUM,FRUTICULTURA
BERRIES PREMIUM SA,BERRIES PREMIUM,HORTICULTURA
BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA""",GANADERIA
BIOLIVE S.A.,EL PIAL,AGRICULTURA
BORCHARDT FRANCISCO,ORGANIC ORCHARD,FRUTICULTURA
BORCHARDT FRANCISCO,ORGANIC ORCHARD,HORTICULTURA
BUENA TIERRA SRL.,SANTA LUCIA,FRUTICULTURA
BUENA TIERRA SRL.,SANTA LUCIA,HORTICULTURA
CHACRA RUMFE SRL,CHACRA RUMFE,AGRICULTURA
CIDEL ORGANICA S.R.L.,QUINTA 462,HORTICULTURA
CIDEL ORGANICA SRL,LA ANUNCIACION QUINTA 2,HORTICULTURA
COOPERATIVA GRANJERA ENTRERIANA DE CHACRAS ORGANICAS LTDA.,EL SEÑUELO,GANADERIA
"CORDOBA, MIGUEL ANGEL",EL 48,AGRICULTURA
COSUFRUTOS SA,PUENTE VIEJO,FRUTICULTURA
DON ALEJO SA,LAUQUEN,AGRICULTURA
DON ALEJO SA,LA TAPERA,AGRICULTURA
DON JACINTO SAAYC,PILLAHUINCO,AGRICULTURA
EBERLING FELICIANO,LA AVENTURA,AGRICULTURA
EBERLING FELICIANO,LA QUEBRADA,AGRICULTURA
EDCO GRAINS S.A.,LA UNION,AGRICULTURA
EDCO GRAINS S.A.,LA ELVIRA,AGRICULTURA
EL CASERIO ORGANICO S.H.,MARIA ALBINA I  Y LA AMELIA,AGRICULTURA
EL KIWAL DE MACEDO S.A.,DON GUILLERMO,FRUTICULTURA
EL REFUGIO DE CARLOS S.A.,LOS TAMARISCOS (ANIMAL),GANADERIA
"ETCHEBEST, PEDRO GASTON",DOÑA FRANCISCA,FRUTICULTURA
FERRARI CRISTHIAN DANIEL,FERRARI,AGRICULTURA
GARAT ALBERTO ADOLFO,MI SUEÑO,AGRICULTURA
GARRIDO STELLA MARIS,LOS OSOS,GANADERIA
GILARDI SEBASTIAN,DON LUIS,AGRICULTURA
GIMAI SA,LA AMISTAD,HORTICULTURA
GONZALEZ ELVIO,VILLA BALLESTER,AGRICULTURA
GONZALEZ ELVIO,LAS CIEN,AGRICULTURA
GONZALEZ ELVIO,EX ARTEL,AGRICULTURA
