establecimiento,razon_social,productos
ADD CROPS S.A.,BARADERO 1,SOJA
ADD CROPS S.A.,BARADERO 2,GIRASOL
ADD CROPS S.A.,BARADERO 2,MIJO
ADD CROPS S.A.,BARADERO 2,RESIDUO VEGETAL
ADD CROPS S.A.,EL BUEN RETIRO,MAIZ
ADD CROPS S.A.,EL BUEN RETIRO,AVENA
ADD CROPS S.A.,EL BUEN RETIRO,CAMPO NATURAL
AGRICOLA EL HORIZONTE S.A.,EL RELINCHO,SOJA
AGRICOLA EL HORIZONTE S.A.,EL RELINCHO,ALPISTE
AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE,SOJA
AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE,ALPISTE
AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE,TRIGO
AGRO ROSSI S.H.,DON GISLENO,CEREALES
AGRO ROSSI S.H.,ONELIA,CEREALES
ALVAREZ ANA MARIA,EL PAMPA ORGANICO,NUEZ PECAN
ALVAREZ ANA MARIA,EL PAMPA ORGANICO,PASTURAS
ALVAREZ ANA MARIA,EL PAMPA ORGANICO,INCULTO
ANIJG AGENCY S.A.,EL FORTIN,GANADERIA BOVINA
ARBE JUAN LUCAS ,NATURAL PAMPA,ARANDANO
ARGENTINA SPECIALITY S.R.L.,LA MORENITA,ARANDANO
ARGENTINA SPECIALITY S.R.L.,LA MORENITA,FRAMBUESA
ARGENTINA SPECIALITY S.R.L.,LA MORENITA,MORA
ARGENTINA SPECIALITY S.R.L.,LA MORENITA,TOMATE
ARGENTINA SPECIALITY S.R.L.,LA MORENITA,PIMIENTO
ARGENTINA SPECIALITY S.R.L.,LA MORENITA,ZAPALLO
ARGENTINA SPECIALITY S.R.L.,LA MORENITA,INCULTO
AUTOSOL PARTS S.A.,SAN JOSE,ARANDANO
AUTOSOL PARTS S.A.,SAN JOSE,DESCANSO
BANDERITAS S.A.,JUAN ALBERTO,TRIGO Y SOJA
BANDERITAS S.A.,SANTA RITA,LINO DORADO Y SOJA
BANDERITAS S.A.,LA COLORADA,TRIGO Y SOJA
