municipio_id,municipio_nombre
60014.0,Adolfo Gonzales Chaves
60063.0,Balcarce
,
60070.0,Baradero
60084.0,Benito Juárez
60021.0,Alberti
60077.0,Arrecifes
60028.0,Almirante Brown
60035.0,Avellaneda
60042.0,Ayacucho
60049.0,Azul
60056.0,Bahía Blanca
60091.0,Berazategui
60098.0,Berisso
60105.0,Bolívar
60112.0,Bragado
60007.0,Adolfo Alsina
60119.0,Brandsen
60126.0,Campana
60134.0,Cañuelas
60140.0,Capitán Sarmiento
60147.0,Carlos Casares
60154.0,Carlos Tejedor
60161.0,Carmen de Areco
60168.0,Castelli
60175.0,Colón
60182.0,Coronel de Marina Leonardo Rosales
60189.0,Coronel Dorrego
60196.0,Coronel Pringles
60203.0,Coronel Suárez
60210.0,Chacabuco
60218.0,Chascomús
60466.0,Lezama
60231.0,Daireaux
60238.0,Dolores
60245.0,Ensenada
60252.0,Escobar
60260.0,Esteban Echeverría
60266.0,Exaltación de la Cruz
60270.0,Ezeiza
60274.0,Florencio Varela
60277.0,Florentino Ameghino
60280.0,General Alvarado
60287.0,General Alvear
60294.0,General Arenales
60301.0,General Belgrano
60308.0,General Guido
60315.0,General Juan Madariaga
60322.0,General la Madrid
60329.0,General las Heras
60336.0,General Lavalle
60343.0,General Paz
60351.0,General Pinto
60357.0,General Pueyrredón
60364.0,General Rodríguez
60371.0,General San Martín
60385.0,General Viamonte
60392.0,General Villegas
60399.0,Guaminí
60406.0,Hipólito Yrigoyen
60408.0,Hurlingham
60410.0,Ituzaingó
60412.0,José C. Paz
60413.0,Junín
60420.0,La Costa
60427.0,La Matanza
60434.0,Lanús
60441.0,La Plata
60448.0,Laprida
60455.0,Las Flores
60462.0,Leandro N. Alem
60476.0,Lobería
60483.0,Lobos
60490.0,Lomas de Zamora
60505.0,Magdalena
60511.0,Maipú
60515.0,Malvinas Argentinas
60518.0,Mar Chiquita
60525.0,Marcos Paz
60539.0,Merlo
60547.0,Monte
60553.0,Monte Hermoso
60560.0,Moreno
60568.0,Morón
60574.0,Navarro
60581.0,Necochea
60588.0,9 de Julio
60595.0,Olavarría
60602.0,Patagones
60609.0,Pehuajó
60623.0,Pergamino
60630.0,Pila
60638.0,Pilar
60644.0,Pinamar
60648.0,Presidente Perón
60651.0,Puán
60655.0,Punta Indio
60658.0,Quilmes
60665.0,Ramallo
60672.0,Rauch
60679.0,Rivadavia
60686.0,Rojas
60693.0,Roque Pérez
60700.0,Saavedra
60707.0,Saladillo
60714.0,Salto
60721.0,Salliqueló
60728.0,San Andrés de Giles
60735.0,San Antonio de Areco
60742.0,San Cayetano
60749.0,San Fernando
60756.0,San Isidro
60760.0,San Miguel
60763.0,San Nicolás
60770.0,San Pedro
60778.0,San Vicente
60784.0,Suipacha
60791.0,Tandil
60798.0,Tapalqué
60805.0,Tigre
60812.0,Tordillo
60819.0,Tornquist
60826.0,Trenque Lauquen
60833.0,Tres Arroyos
60840.0,Tres de Febrero
60847.0,Tres Lomas
60854.0,25 de Mayo
60861.0,Vicente López
60868.0,Villa Gesell
60882.0,Zárate
100028.0,Los Varela
100014.0,La Puerta
100007.0,El Rodeo
100021.0,Las Juntas
100035.0,Ancasti
100049.0,Andalgalá
100042.0,Aconquija
100056.0,Antofagasta de la Sierra
100119.0,Villa Vil
100063.0,Belén
100091.0,Pozo de Piedra
100070.0,Corral Quemado
100098.0,Puerta de Corral Quemado
100077.0,Hualfín
100084.0,Londres
100105.0,Puerta de San José
100126.0,Capayán
100133.0,Huillapima
100140.0,San Fernando del Valle de Catamarca
100147.0,El Alto
100154.0,Tapso
100161.0,Fray Mamerto Esquiú
100175.0,Recreo
100168.0,Icaño
100182.0,Paclín
100185.0,Mutquín
100196.0,Saujil
100189.0,Pomán
100203.0,San José
100210.0,Santa María
100213.0,Los Altos
100217.0,Santa Rosa
100231.0,Tinogasta
100224.0,Fiambalá
100238.0,Valle Viejo
142007.0,Amboy
142021.0,Cañada del Sauce
140049.0,Villa General Belgrano
140063.0,Villa Rumipal
140070.0,Villa Yacanto
140007.0,Embalse
140014.0,La Cruz
143015.0,La Cumbrecita
142028.0,Las Bajadas
142035.0,Las Caleras
140021.0,Los Cóndores
142042.0,Los Molinos
142049.0,Los Reartes
142056.0,Lutti
142014.0,Calmayo
140028.0,Río de los Sauces
140056.0,San Agustín
142063.0,San Ignacio
140035.0,Santa Rosa de Calamuchita
142070.0,Segunda Usina
142084.0,Villa Ciudad Parque los Reartes
142077.0,Villa Amancay
140042.0,Villa del Dique
142091.0,Villa Quillinzo
140077.0,Córdoba
140084.0,Agua de Oro
140126.0,La Granja
140147.0,Río Ceballos
142105.0,El Manzano
140119.0,La Calera
140091.0,Colonia Caroya
140098.0,Colonia Tirolesa
142098.0,Colonia Vicente Agüero
140133.0,Malvinas Argentinas
140175.0,Villa Allende
142112.0,Estación General Paz
140112.0,Jesús María
140168.0,Unquillo
140140.0,Mendiolaza
140154.0,Saldán
140161.0,Salsipuedes
142728.0,Tinoco
142126.0,Villa Cerro Azul
140105.0,Estación Juárez Celman
142133.0,Alto de los Quebrachos
142140.0,Bañado de Soto
140182.0,Cruz del Eje
142154.0,El Brete
142161.0,Guanaco Muerto
140189.0,San Marcos Sierras
142175.0,La Higuera
142189.0,Las Playas
142819.0,Los Chañaritos
142203.0,Media Naranja
140196.0,Serrezuela
142217.0,Tuclame
140203.0,Villa de Soto
140217.0,Del Campillo
140210.0,Buchardo
140224.0,Huinca Renancó
140231.0,Italó
140245.0,Mattaldi
142224.0,Nicolás Bruzzone
142231.0,Onagoity
142238.0,Pincen
142245.0,Ranqueles
140238.0,Jovita
140252.0,Villa Huidobro
141120.0,Villa Sarmiento (S. A.)
140259.0,Villa Valeria
140273.0,Arroyo Cabral
140280.0,Ausonia
140287.0,Chazón
140294.0,Etruria
140301.0,La Laguna
140308.0,La Palestina
140315.0,La Playosa
140322.0,Luca
140329.0,Pasco
140336.0,Silvio Pellico
140343.0,Ticino
140350.0,Tío Pujio
140357.0,Villa María
140364.0,Villa Nueva
142259.0,Avellaneda
142266.0,Cañada de Río Pinto
142273.0,Chuña
140371.0,Deán Funes
142294.0,Olivares de San Nicolás
142287.0,Los Pozos
140378.0,Quilino
140385.0,Alejandro Roca
142308.0,Assunta
140399.0,Carnerillo
140406.0,Charras
142315.0,El Rastreador
140413.0,General Cabrera
140420.0,General Deheza
140427.0,Huanchilla
140434.0,La Carlota
140441.0,Los Cisnes
140448.0,Olaeta
142322.0,Pacheco de Melo
142329.0,Paso del Durazno
140462.0,Santa Eufemia
140469.0,Ucacha
140455.0,Reducción
140476.0,Alejo Ledesma
140483.0,Arias
140497.0,Capitán General B. O'Higgins
140504.0,Cavanagh
142336.0,Colonia Barge
140511.0,Colonia Italiana
140518.0,Corral de Bustos
140525.0,Cruz Alta
140532.0,General Baldissera
140539.0,General Roca
140546.0,Guatimozín
140553.0,Inriville
140560.0,Isla Verde
140574.0,Los Surgentes
140581.0,Marcos Juárez
140588.0,Monte Buey
142343.0,Saladillo
142357.0,Ciénaga del Coro
142364.0,El Chacho
142371.0,Estancia de Guadalupe
142378.0,Guasapampa
142385.0,La Playa
140602.0,San Carlos Minas
142392.0,Talaini
142399.0,Tosno
142434.0,Tala Cañada
140609.0,Salsacate
142427.0,San Gerónimo
142441.0,Villa de Pocho
140616.0,General Levalle
140623.0,La Cesira
140630.0,Laboulaye
142448.0,Leguizamón
140637.0,Melo
142455.0,Río Bamba
140644.0,Rosales
140651.0,Serrano
140658.0,Villa Rossi
140672.0,Capilla del Monte
140665.0,Bialet Massé
142476.0,Casa Grande
142483.0,Charbonier
140679.0,Cosquín
142490.0,Cuesta Blanca
142497.0,Estancia Vieja
140686.0,Huerta Grande
140693.0,La Cumbre
140700.0,La Falda
142511.0,San Antonio de Arredondo
140707.0,Los Cocos
140721.0,Santa María de Punilla
140714.0,San Esteban
142525.0,Tala Huasi
140728.0,Tanti
140735.0,Valle Hermoso
140742.0,Villa Carlos Paz
140749.0,Villa Giardino
142539.0,Villa Santa Cruz del Lago
142532.0,Villa Parque Siquiman
142546.0,Villa Río Icho Cruz
140756.0,Achiras
140763.0,Adelia María
140770.0,Alcira
140777.0,Alpa Corral
140791.0,Bulnes
140798.0,Chaján
142553.0,Chucul
140805.0,Coronel Baigorria
140812.0,Coronel Moldes
140819.0,Elena
142560.0,"La Carolina ""El Potosi"""
140826.0,La Cautiva
140833.0,Las Acequias
142567.0,Las Albahacas
142574.0,Las Peñas Sud
140847.0,Las Vertientes
142581.0,Malena
140854.0,Monte de los Gauchos
140861.0,Río Cuarto
140875.0,San Basilio
140882.0,Santa Catalina
142588.0,Suco
140889.0,Tosquita
140896.0,Vicuña Mackenna
142595.0,Villa el Chacay
142602.0,Washington
142616.0,Cañada de Machado
142623.0,Capilla de los Remedios
142651.0,Diego de Rojas
142658.0,El Crispín
142665.0,Esquina
142672.0,Kilómetro 658
140903.0,La Para
142679.0,La Posta
140910.0,La Puerta
142686.0,La Quinta
142700.0,Las Saladas
142707.0,Maquinista Gallini
140917.0,Monte Cristo
140924.0,Obispo Trejo
140931.0,Piquillín
142714.0,Plaza de Mercedes
142644.0,Comechingones
140938.0,Río Primero
140945.0,Santa Rosa de Río Primero
140952.0,Villa Fontana
142735.0,Cerro Colorado
142749.0,Eufrasio Loza
142756.0,Gütemberg
142770.0,Los Hoyos
142784.0,Rayo Cortado
142791.0,Santa Elena
140959.0,Sebastián Elcano
142798.0,Villa Candelaria Norte
140966.0,Villa de María
140973.0,Calchín
140987.0,Capilla del Carmen
140994.0,Carrilobo
141001.0,Colazo
142805.0,Colonia Videla
141008.0,Costasacate
142812.0,Impira
141015.0,Laguna Larga
